OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v;;
2;3574450;7074350;Valtimo;2060;19610505;1961;5;5;3575000;7075000;3.9;8.6;0.8;3;5208;7.02;4.9;119;;
2;3574450;7074350;Valtimo;2060;19610506;1961;5;6;3575000;7075000;3.8;6.3;1.3;9;5459;7.51;4.9;128;;
2;3574450;7074350;Valtimo;2060;19610507;1961;5;7;3575000;7075000;5.9;7.7;3.2;1;6324;8.13;5.8;129;;
2;3574450;7074350;Valtimo;2060;19610508;1961;5;8;3575000;7075000;7.2;11.6;3.5;0;7767;7.69;8;129;;
2;3574450;7074350;Valtimo;2060;19610509;1961;5;9;3575000;7075000;3.6;8.1;1.8;1;9060;8.1;8;130;;
2;3574450;7074350;Valtimo;2060;19610510;1961;5;10;3575000;7075000;3.3;5.9;0.7;0;8404;7.11;8;130;;
2;3574450;7074350;Valtimo;2060;19610511;1961;5;11;3575000;7075000;6.1;10.6;2.2;0;7526;7.16;9.1;130;;
2;3574450;7074350;Valtimo;2060;19610512;1961;5;12;3575000;7075000;5.6;10.2;2.5;1;12254;6.89;9.7;131;;
2;3574450;7074350;Valtimo;2060;19610513;1961;5;13;3575000;7075000;2.9;6.7;0.4;4;3872;7.2;9.7;135;;
2;3574450;7074350;Valtimo;2060;19610514;1961;5;14;3575000;7075000;3.5;5.2;1.7;8;7260;7.84;9.7;143;;
2;3574450;7074350;Valtimo;2060;19610515;1961;5;15;3575000;7075000;5.2;6.8;3.3;1;10162;7.66;9.9;144;;
2;3574450;7074350;Valtimo;2060;19610516;1961;5;16;3575000;7075000;5.3;7.4;3.7;0;8949;6.5;10.2;144;;
2;3574450;7074350;Valtimo;2060;19610517;1961;5;17;3575000;7075000;6.2;11.3;-0.4;0;17991;5.03;11.4;144;;
2;3574450;7074350;Valtimo;2060;19610518;1961;5;18;3575000;7075000;5.7;10.1;-0.9;3;10023;5.76;12.1;147;;
2;3574450;7074350;Valtimo;2060;19610519;1961;5;19;3575000;7075000;3.2;6.3;2;1;17403;6.42;12.1;148;;
2;3574450;7074350;Valtimo;2060;19610520;1961;5;20;3575000;7075000;4.8;6.4;2.3;6;15147;7.14;12.1;154;;
2;3574450;7074350;Valtimo;2060;19610521;1961;5;21;3575000;7075000;4;6.2;1.3;9;6533;7.65;12.1;163;;
2;3574450;7074350;Valtimo;2060;19610522;1961;5;22;3575000;7075000;4.2;7.2;0.7;0;12409;5.59;12.1;163;;
2;3574450;7074350;Valtimo;2060;19610523;1961;5;23;3575000;7075000;7.5;13;-1.3;0;12863;5.78;14.6;163;;
2;3574450;7074350;Valtimo;2060;19610524;1961;5;24;3575000;7075000;10.2;13.9;6;5;11508;7.86;19.8;168;;
2;3574450;7074350;Valtimo;2060;19610525;1961;5;25;3575000;7075000;9.1;14.3;5.6;1;15922;7.64;23.9;169;;
2;3574450;7074350;Valtimo;2060;19610526;1961;5;26;3575000;7075000;9.6;12.9;5.1;0;18459;6.52;28.5;169;;
2;3574450;7074350;Valtimo;2060;19610527;1961;5;27;3575000;7075000;11.3;17.2;2.2;0;14860;8.21;34.8;169;;
2;3574450;7074350;Valtimo;2060;19610528;1961;5;28;3575000;7075000;14.7;21;6.9;0;6107;10.02;44.5;169;;
2;3574450;7074350;Valtimo;2060;19610529;1961;5;29;3575000;7075000;14.9;21.2;11.3;6;13050;10.88;54.4;175;;
2;3574450;7074350;Valtimo;2060;19610530;1961;5;30;3575000;7075000;12.9;17.9;9.2;0;22636;9.24;62.3;175;;
2;3574450;7074350;Valtimo;2060;19610531;1961;5;31;3575000;7075000;16.3;23.7;6.8;0;22411;10.06;73.6;175;;
2;3574450;7074350;Valtimo;2060;19610601;1961;6;1;3575000;7075000;17.5;22.7;10.7;0;21774;9.34;86.1;175;;
2;3574450;7074350;Valtimo;2060;19610602;1961;6;2;3575000;7075000;18.3;24;10;0;24821;10.37;99.4;175;;
2;3574450;7074350;Valtimo;2060;19610603;1961;6;3;3575000;7075000;18.7;24.5;10.8;0;18327;10.88;113.1;175;;
2;3574450;7074350;Valtimo;2060;19610604;1961;6;4;3575000;7075000;19.8;26.4;10.3;0;22793;12.85;127.9;175;;
2;3574450;7074350;Valtimo;2060;19610605;1961;6;5;3575000;7075000;20;27.9;10.6;0;19132;12.26;142.9;175;;
2;3574450;7074350;Valtimo;2060;19610606;1961;6;6;3575000;7075000;20;27.4;11.5;2;21363;13.05;157.9;177;;
2;3574450;7074350;Valtimo;2060;19610607;1961;6;7;3575000;7075000;20.3;26.4;13.5;0;22158;13.32;173.2;177;;
2;3574450;7074350;Valtimo;2060;19610608;1961;6;8;3575000;7075000;20.6;26.8;11.6;0;22085;13.23;188.8;177;;
2;3574450;7074350;Valtimo;2060;19610609;1961;6;9;3575000;7075000;17.4;23.5;11.6;2;18529;14.78;201.2;179;;
2;3574450;7074350;Valtimo;2060;19610610;1961;6;10;3575000;7075000;19.2;23.7;14.3;0;20608;16.14;215.4;179;;
2;3574450;7074350;Valtimo;2060;19610611;1961;6;11;3575000;7075000;16.7;22.2;12.2;5;15765;13.33;227.1;184;;
2;3574450;7074350;Valtimo;2060;19610612;1961;6;12;3575000;7075000;15.7;19.7;12.3;13;12682;15.09;237.8;197;;
2;3574450;7074350;Valtimo;2060;19610613;1961;6;13;3575000;7075000;17.1;21.7;12.8;8;12957;16.76;249.9;205;;
2;3574450;7074350;Valtimo;2060;19610614;1961;6;14;3575000;7075000;16.8;22.1;13.6;18;15057;16.7;261.7;223;;
2;3574450;7074350;Valtimo;2060;19610615;1961;6;15;3575000;7075000;18;21.2;14.5;4;14166;14.92;274.7;227;;
2;3574450;7074350;Valtimo;2060;19610616;1961;6;16;3575000;7075000;11.2;18.5;9.2;5;11749;13.09;280.9;232;;
2;3574450;7074350;Valtimo;2060;19610617;1961;6;17;3575000;7075000;14.9;21.5;8.5;0;11877;13.16;290.8;232;;
2;3574450;7074350;Valtimo;2060;19610618;1961;6;18;3575000;7075000;14.7;18.8;11.7;16;12115;13.55;300.5;248;;
